address,status,uptime,up2date

127.0.0.1:5001,active,2.6941299438476562e-05,
127.0.0.1:5001,active,3.2901763916015625e-05,
127.0.0.1:5001,active,3.600120544433594e-05,
127.0.0.1:5001,active,3.1948089599609375e-05,
127.0.0.1:5001,active,3.0279159545898438e-05,
127.0.0.1:5001,active,2.9087066650390625e-05,
127.0.0.1:5001,active,2.8848648071289062e-05,
127.0.0.1:5001,active,3.1948089599609375e-05,
127.0.0.1:5001,active,3.0994415283203125e-05,
127.0.0.1:5001,active,3.0994415283203125e-05,
